GSE	GSM	SRS	age	diet	genotype	ZsGreen1
GSE155513	GSM4705592	SRS7124065	0	WD	Ldr-/-	pos
GSE155513	GSM4705593	SRS7124066	0	WD	Ldr-/-	neg
GSE155513	GSM4705594	SRS7124067	8	WD	Ldr-/-	pos
GSE155513	GSM4705595	SRS7124068	8	WD	Ldr-/-	neg
GSE155513	GSM4705596	SRS7124069	16	WD	Ldr-/-	pos
GSE155513	GSM4705597	SRS7124070	16	WD	Ldr-/-	neg
GSE155513	GSM4705598	SRS7124071	26	WD	Ldr-/-	pos
GSE155513	GSM4705599	SRS7124072	26	WD	Ldr-/-	neg
GSE155513	GSM4705600	SRS7124073	8	WD	ApoE-/-	pos
GSE155513	GSM4705601	SRS7124074	8	WD	ApoE-/-	neg
GSE155513	GSM4705602	SRS7124075	16	WD	ApoE-/-	pos
GSE155513	GSM4705603	SRS7124076	16	WD	ApoE-/-	neg
GSE155513	GSM4705604	SRS7124077	22	WD	ApoE-/-	pos
GSE155513	GSM4705605	SRS7124078	22	WD	ApoE-/-	neg